Variety Name,botanical_variety,Origin,cluster,soluble_solids,glucose,fructose,citric_acid
Caro Rich,NA,United States,heirloom,5.27,17.27,19.39,2.94
Chocolate Cherry,NA,United States,heirloom,6.03,19.09,21.70,4.82
Christmas Grapes,NA,United States,transitional,4.83,14.40,17.07,4.08
Double Rich,NA,United States,heirloom,3.67,10.66,12.71,2.59
Dr. Wyche's Yellow,NA,United States,heirloom,4.73,14.60,16.56,2.88
Druzba,NA,United States,heirloom,4.53,15.44,18.60,2.05
Perlat,NA,Bulgaria,transitional,3.90,11.98,14.60,NA
Gardener's Delight,NA,United States,transitional,4.73,16.81,20.36,2.72
Georgia Streak,NA,United States,heirloom,4.67,17.63,19.68,1.60
German Johnson Pink,NA,United States,heirloom,4.63,13.13,14.87,1.83
German Red Strawberry,NA,United States,heirloom,4.35,14.41,16.31,2.13
Gold Currant,NA,United States,cerasiforme,7.20,24.99,27.47,7.79
Golden Jubilee,NA,United States,heirloom,5.02,14.32,16.01,4.06
Golden Ponderosa,NA,United States,heirloom,4.73,16.82,18.84,2.52
Great White Beefsteak,NA,United States,heirloom,4.17,16.88,19.07,2.25
Green Grape,NA,United States,transitional,5.35,16.97,19.92,2.83
Jaune Flammee,NA,United States,transitional,4.66,13.75,15.89,4.19
San Marzano,S. lycopersicum,Italy,heirloom,4.78,14.39,14.75,3.69
New Yorker,S. lycopersicum,United States ,heirloom,4.78,11.98,14.07,4.22
Kellogg's Breakfast,NA,United States,heirloom,4.90,22.31,23.49,2.78
LA1673,NA,United States,pimpinellifolium,6.47,19.49,23.86,4.55
Lillian's Yellow Heirloom,NA,United States,modern,3.50,9.05,11.31,3.26
Marvel Striped,NA,United States,heirloom,5.63,17.72,18.78,3.58
Mule Team,NA,United States,heirloom,4.90,13.64,15.86,2.71
Old German,NA,United States,heirloom,4.53,13.56,16.00,1.91
Omar's Lebanese,NA,United States,heirloom,4.30,13.91,16.17,1.38
Orange Strawberry,NA,United States,heirloom,5.07,19.67,20.57,2.30
Paul Robeson,NA,United States,heirloom,5.74,20.26,22.22,3.16
Pineapple,NA,United States,heirloom,4.93,14.53,17.67,2.45
Huayvaruni,S. lycopersicum var cerasiforme,Peru,heirloom,4.83,12.59,18.13,NA
Pink Ping Pong,NA,United States,heirloom,4.95,14.95,18.88,2.30
Prize of the Trials Cherry,NA,United States,heirloom,5.66,16.99,19.33,2.71
Prudens Purple,NA,United States,heirloom,4.15,11.57,14.81,2.91
Rainbow,NA,United States,heirloom,4.40,12.13,14.23,1.44
Red Currant,NA,United States,transitional,6.79,18.11,20.91,6.75
Red Fig Tomato,NA,United States,heirloom,5.54,16.66,20.31,3.81
Red Star,NA,United States,heirloom,5.84,16.20,20.78,3.63
Red Zebra,NA,United States,modern,4.53,14.61,17.63,3.01
Riesentraube,NA,United States,cerasiforme,5.81,20.10,22.72,3.62
Silvery Fir Tree,NA,United States,heirloom,3.78,8.62,11.47,3.53
,NA,Argentina,heirloom,5.60,18.29,21.50,NA
Snowberry,NA,United States,transitional,6.99,22.72,25.78,4.81
Soldacki,NA,United States,heirloom,4.10,11.89,14.65,1.86
Sub-Arctic Plenty,NA,United States,modern,3.93,9.59,12.62,2.66
Sugar Lump,NA,United States,transitional,7.06,23.60,25.16,5.30
